dag_id,name,data,stage_id
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'a7': {'size': 31}},0
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'a6': {'size': 42}},0
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'d6': {'size': 28}},1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
b4f814ea-f6d4-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
dag_id,name,data,stage_id
b4f5e2cc-f6d4-11ea-96fc-9848275c1b15,2,{'a6': {'size': 42}},0
b4f5e2cc-f6d4-11ea-96fc-9848275c1b15,2,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
b4f5e2cc-f6d4-11ea-96fc-9848275c1b15,2,{'d7': {'size': 23}},1
b4f5e2cc-f6d4-11ea-96fc-9848275c1b15,2,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
dag_id,name,data,stage_id
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'a7': {'size': 31}},0
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'a6': {'size': 42}},0
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'d6': {'size': 28}},1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
c5fa3abe-f6d6-11ea-a4ee-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
dag_id,name,data,stage_id
c5f661a4-f6d6-11ea-878a-9848275c1b15,2,{'a6': {'size': 42}},0
c5f661a4-f6d6-11ea-878a-9848275c1b15,2,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
c5f661a4-f6d6-11ea-878a-9848275c1b15,2,{'d7': {'size': 23}},1
c5f661a4-f6d6-11ea-878a-9848275c1b15,2,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
dag_id,name,data,stage_id
9edf67dc-f6d7-11ea-a4ee-9848275c1b15,1,{'a7': {'size': 31}},0
9edf67dc-f6d7-11ea-a4ee-9848275c1b15,1,{'a6': {'size': 42}},0
9edf67dc-f6d7-11ea-a4ee-9848275c1b15,1,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
9edf67dc-f6d7-11ea-a4ee-9848275c1b15,1,{'d7': {'size': 23}},1
dag_id,name,data,stage_id
9eddfe10-f6d7-11ea-b82a-9848275c1b15,2,{'a6': {'size': 42}},0
9eddfe10-f6d7-11ea-b82a-9848275c1b15,2,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
9eddfe10-f6d7-11ea-b82a-9848275c1b15,2,{'a7': {'size': 31}},0
9eddfe10-f6d7-11ea-b82a-9848275c1b15,2,{'d7': {'size': 23}},1
dag_id,name,data,stage_id
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'a7': {'size': 31}},0
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'d7': {'size': 23}},1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'a6': {'size': 42}},0
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,"{'a6': {'size': 64}, 'b6': {'size': 25}}",0
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'d7': {'size': 23}},1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'d6': {'size': 28}},1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'d7': {'size': 23}},1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,{'d7': {'size': 23}},1
f4f42f36-f6d7-11ea-a4f0-9848275c1b15,1,"{'c7': {'size': 19}, 'd7': {'size': 50}}",1
dag_id,name,data,stage_id
